iter	Logloss
0	0.6345601228
1	0.5824838563
2	0.538701331
3	0.5019255265
4	0.473456337
5	0.4498244644
6	0.4311364309
7	0.4132118399
8	0.3993811928
9	0.3876625236
10	0.3795492738
11	0.3707786681
12	0.3646228683
13	0.3594391697
14	0.3546794616
15	0.3509532801
16	0.3480362593
17	0.3445910425
18	0.3409967107
19	0.3386722138
20	0.3355299996
21	0.333192703
22	0.3312730314
23	0.328842346
24	0.3272180576
25	0.3255357222
26	0.3245579012
27	0.3233279537
28	0.3218113843
29	0.3210555207
30	0.3200459418
31	0.319177065
32	0.3181737523
33	0.3169047102
34	0.316166598
35	0.3155408342
36	0.3148535278
37	0.313653063
38	0.312680444
39	0.3120839768
40	0.3112928357
41	0.3108080132
42	0.3093694715
43	0.3087445971
44	0.3082820754
45	0.3077816083
46	0.3073500489
47	0.3068872518
48	0.3065988731
49	0.306206084
50	0.30572909
51	0.3046828318
52	0.3040542307
53	0.3037151097
54	0.3031631853
55	0.302850259
56	0.30253761
57	0.3018090312
58	0.3014331496
59	0.301219591
60	0.3009022049
61	0.3007326763
62	0.3005688727
63	0.3002884176
64	0.2999217248
65	0.2997466426
66	0.2995347647
67	0.2986262005
68	0.2984894982
69	0.2982669965
70	0.2978701322
71	0.2973456851
72	0.2971124278
73	0.2969154582
74	0.29669265
75	0.2965280959
76	0.2962113296
77	0.2959064691
78	0.2957561069
79	0.2956201822
80	0.2953400221
81	0.2952111861
82	0.2950173791
83	0.2948820926
84	0.2947880174
85	0.2945442938
86	0.2942660263
87	0.2940967695
88	0.293928946
89	0.2937829918
90	0.2931761204
91	0.2929990245
92	0.2929021921
93	0.2928044798
94	0.2926706
95	0.2925334433
96	0.2920689868
97	0.2918899389
98	0.2915780275
99	0.2913972762
100	0.2907077819
101	0.2904955316
102	0.2901533906
103	0.2900496673
104	0.2899760035
105	0.289683871
106	0.2896316447
107	0.2895593048
108	0.2894843548
109	0.2892578899
110	0.2892282299
111	0.2889886089
112	0.288915726
113	0.2888463153
114	0.2887518332
115	0.2886312269
116	0.2884868243
117	0.2883908935
118	0.2883367191
119	0.2882881845
120	0.2881824104
121	0.2873809586
122	0.2873152634
123	0.2872302669
124	0.287154559
125	0.2870849268
126	0.2870057124
127	0.2869660695
128	0.2868602049
129	0.2867599974
130	0.2865954863
131	0.2865250802
132	0.2864831074
133	0.2863698478
134	0.2862369657
135	0.2861829209
136	0.2860596438
137	0.2859277567
138	0.2858413342
139	0.2857894807
140	0.2856711544
141	0.2855030011
142	0.2854161954
143	0.2852212523
144	0.2851689177
145	0.2847389511
146	0.2842753011
147	0.2841599469
148	0.2840507942
149	0.2839747828
150	0.2837776421
151	0.2835788331
152	0.2834509817
153	0.2833660941
154	0.2832958687
155	0.2832059202
156	0.2827780952
157	0.2826985313
158	0.2825632424
159	0.2825106714
160	0.2824006514
161	0.2822426366
162	0.2821970211
163	0.2820963124
