iter	Passed	Remaining
0	33	27040
1	52	20920
2	68	18329
3	82	16492
4	96	15395
5	111	14690
6	122	13846
7	134	13354
8	146	12907
9	160	12676
10	172	12405
11	183	12066
12	194	11770
13	203	11451
14	215	11281
15	226	11081
16	237	10930
17	249	10827
18	260	10712
19	271	10603
20	284	10559
21	297	10506
22	311	10512
23	323	10465
24	333	10340
25	347	10343
26	357	10234
27	369	10174
28	381	10155
29	392	10085
30	404	10030
31	416	10006
32	426	9919
33	439	9894
34	450	9837
35	462	9822
36	474	9794
37	486	9763
38	498	9720
39	509	9684
40	522	9674
41	533	9634
42	547	9638
43	559	9611
44	570	9565
45	582	9551
46	592	9490
47	602	9442
48	613	9397
49	625	9378
50	637	9358
51	649	9349
52	661	9318
53	674	9317
54	685	9280
55	695	9242
56	708	9233
57	720	9223
58	733	9212
59	745	9192
60	757	9176
61	770	9165
62	780	9134
63	793	9125
64	804	9096
65	815	9074
66	829	9074
67	842	9068
68	854	9054
69	873	9106
70	886	9101
71	899	9094
72	910	9067
73	922	9047
74	933	9023
75	957	9125
76	969	9103
77	983	9105
78	995	9085
79	1006	9058
80	1018	9041
81	1029	9016
82	1041	8999
83	1055	8992
84	1066	8970
85	1078	8950
86	1089	8926
87	1100	8900
88	1111	8877
89	1122	8854
90	1133	8835
91	1146	8820
92	1159	8813
93	1172	8806
94	1185	8796
95	1197	8782
96	1210	8770
97	1222	8757
98	1238	8770
99	1251	8759
100	1263	8747
101	1277	8743
102	1294	8761
103	1307	8749
104	1319	8732
105	1342	8789
106	1357	8790
107	1368	8771
108	1380	8750
109	1391	8731
110	1402	8704
111	1423	8741
112	1435	8724
113	1448	8714
114	1460	8700
115	1473	8688
116	1488	8688
117	1504	8694
118	1517	8685
119	1529	8667
120	1541	8650
121	1557	8653
122	1569	8641
123	1582	8627
124	1594	8612
125	1607	8598
126	1619	8580
127	1629	8554
128	1642	8542
129	1655	8531
130	1668	8522
131	1686	8535
132	1700	8528
133	1716	8532
134	1731	8527
135	1745	8524
136	1759	8514
137	1782	8548
138	1796	8543
139	1808	8526
140	1823	8521
141	1837	8513
142	1848	8493
143	1862	8486
144	1876	8476
145	1890	8466
146	1903	8454
147	1915	8440
148	1928	8427
149	1939	8406
150	1953	8394
151	1966	8384
152	1980	8376
153	1998	8383
154	2014	8383
155	2028	8373
156	2045	8375
157	2061	8376
158	2073	8357
159	2085	8341
160	2101	8339
161	2124	8366
162	2153	8415
163	2173	8427
164	2185	8409
165	2198	8397
166	2211	8383
167	2222	8362
168	2239	8363
169	2253	8350
170	2265	8334
171	2281	8329
172	2294	8314
173	2310	8311
174	2324	8300
175	2337	8287
176	2351	8275
177	2366	8268
178	2381	8263
179	2397	8256
180	2411	8246
181	2424	8233
182	2437	8217
183	2449	8201
184	2464	8194
185	2480	8188
186	2495	8179
187	2506	8158
188	2520	8149
189	2532	8132
190	2544	8111
191	2556	8095
192	2570	8084
193	2584	8071
194	2598	8061
195	2610	8044
196	2624	8034
197	2637	8020
198	2650	8003
199	2663	7991
200	2676	7976
201	2687	7957
202	2701	7943
203	2712	7925
204	2725	7909
205	2737	7893
206	2749	7876
207	2763	7865
208	2774	7846
209	2785	7826
210	2798	7812
211	2811	7797
212	2823	7781
213	2836	7766
214	2848	7750
215	2861	7736
216	2873	7720
217	2887	7707
218	2900	7695
219	2913	7680
220	2925	7665
221	2938	7649
222	2951	7635
223	2963	7619
224	2977	7608
225	2993	7602
226	3007	7590
227	3020	7577
228	3034	7566
229	3045	7547
230	3058	7533
231	3073	7524
232	3084	7505
233	3097	7492
234	3110	7478
235	3122	7462
236	3135	7449
237	3147	7433
238	3159	7417
239	3171	7399
240	3184	7385
241	3195	7367
242	3206	7349
243	3217	7332
244	3228	7312
245	3239	7295
246	3251	7280
247	3263	7264
248	3276	7249
249	3287	7232
250	3301	7222
251	3313	7204
252	3326	7191
253	3338	7177
254	3349	7159
255	3361	7143
256	3373	7128
257	3385	7112
258	3395	7092
259	3406	7074
260	3419	7061
261	3429	7041
262	3441	7026
263	3453	7011
264	3467	7000
265	3480	6986
266	3493	6973
267	3506	6959
268	3518	6944
269	3532	6933
270	3546	6923
271	3560	6912
272	3572	6896
273	3584	6881
274	3595	6863
275	3608	6851
276	3624	6842
277	3636	6828
278	3649	6814
279	3661	6800
280	3675	6789
281	3688	6775
282	3706	6771
283	3722	6762
284	3737	6753
285	3751	6742
286	3763	6727
287	3776	6713
288	3787	6697
289	3800	6682
290	3810	6665
291	3822	6649
292	3836	6638
293	3849	6624
294	3863	6613
295	3874	6596
296	3885	6580
297	3896	6563
298	3906	6546
299	3918	6530
300	3933	6520
301	3947	6509
302	3960	6496
303	3973	6483
304	3985	6468
305	3999	6456
306	4017	6452
307	4032	6441
308	4044	6426
309	4055	6410
310	4067	6395
311	4079	6380
312	4090	6364
313	4103	6351
314	4116	6338
315	4130	6326
316	4142	6312
317	4156	6299
318	4167	6284
319	4179	6268
320	4190	6252
321	4204	6241
322	4215	6224
323	4226	6209
324	4237	6193
325	4249	6178
326	4260	6162
327	4272	6147
328	4282	6131
329	4295	6117
330	4307	6102
331	4318	6087
332	4330	6072
333	4341	6057
334	4354	6044
335	4367	6030
336	4379	6016
337	4391	6002
338	4404	5990
339	4416	5975
340	4429	5962
341	4441	5947
342	4454	5935
343	4469	5924
344	4482	5911
345	4495	5898
346	4506	5883
347	4520	5870
348	4533	5858
349	4547	5846
350	4558	5831
351	4575	5823
352	4588	5810
353	4600	5796
354	4613	5783
355	4626	5770
356	4637	5754
357	4648	5738
358	4659	5723
359	4672	5710
360	4684	5696
361	4696	5682
362	4708	5668
363	4721	5654
364	4733	5641
365	4745	5627
366	4758	5613
367	4769	5599
368	4781	5584
369	4792	5569
370	4803	5554
371	4814	5539
372	4827	5526
373	4840	5513
374	4851	5497
375	4862	5483
376	4875	5470
377	4888	5457
378	4899	5442
379	4911	5428
380	4924	5415
381	4935	5400
382	4948	5387
383	4960	5374
384	4972	5359
385	4983	5344
386	4995	5331
387	5006	5316
388	5019	5303
389	5031	5289
390	5043	5276
391	5056	5262
392	5069	5249
393	5080	5235
394	5093	5221
395	5104	5207
396	5117	5195
397	5130	5182
398	5144	5170
399	5154	5154
400	5167	5141
401	5178	5127
402	5191	5114
403	5202	5099
404	5215	5087
405	5227	5073
406	5240	5060
407	5251	5045
408	5263	5032
409	5275	5017
410	5286	5003
411	5297	4988
412	5309	4975
413	5321	4961
414	5334	4949
415	5347	4936
416	5359	4922
417	5371	4909
418	5382	4894
419	5395	4881
420	5407	4868
421	5420	4855
422	5433	4842
423	5446	4829
424	5458	4816
425	5471	4803
426	5483	4790
427	5496	4777
428	5508	4763
429	5519	4749
430	5530	4735
431	5543	4722
432	5555	4708
433	5564	4692
434	5576	4679
435	5587	4665
436	5599	4651
437	5611	4637
438	5621	4622
439	5632	4608
440	5648	4598
441	5659	4583
442	5671	4570
443	5682	4556
444	5696	4544
445	5706	4529
446	5717	4515
447	5730	4502
448	5743	4489
449	5753	4475
450	5765	4461
451	5778	4448
452	5789	4435
453	5801	4421
454	5812	4407
455	5825	4394
456	5838	4381
457	5850	4369
458	5862	4355
459	5875	4342
460	5887	4329
461	5900	4316
462	5910	4302
463	5922	4288
464	5933	4274
465	5944	4260
466	5958	4249
467	5972	4237
468	5985	4224
469	5997	4211
470	6010	4198
471	6022	4184
472	6034	4172
473	6048	4160
474	6067	4151
475	6079	4138
476	6092	4125
477	6105	4112
478	6118	4100
479	6131	4087
480	6142	4073
481	6156	4061
482	6167	4047
483	6178	4034
484	6191	4021
485	6204	4008
486	6216	3995
487	6228	3981
488	6240	3968
489	6254	3957
490	6267	3944
491	6278	3930
492	6290	3916
493	6302	3903
494	6315	3891
495	6325	3877
496	6338	3864
497	6350	3851
498	6363	3838
499	6375	3825
500	6386	3811
501	6398	3798
502	6410	3785
503	6423	3772
504	6435	3759
505	6450	3748
506	6464	3736
507	6477	3723
508	6492	3711
509	6505	3699
510	6519	3687
511	6534	3675
512	6547	3663
513	6560	3650
514	6572	3637
515	6586	3625
516	6599	3612
517	6613	3600
518	6627	3588
519	6639	3574
520	6655	3564
521	6666	3550
522	6681	3538
523	6693	3525
524	6705	3512
525	6718	3499
526	6734	3488
527	6746	3475
528	6758	3462
529	6770	3448
530	6782	3435
531	6793	3422
532	6804	3408
533	6814	3394
534	6828	3382
535	6840	3369
536	6851	3355
537	6864	3342
538	6875	3329
539	6887	3316
540	6898	3302
541	6912	3290
542	6925	3277
543	6936	3264
544	6948	3251
545	6961	3238
546	6972	3225
547	6984	3211
548	6995	3198
549	7007	3185
550	7019	3172
551	7031	3158
552	7043	3145
553	7055	3132
554	7068	3120
555	7082	3107
556	7094	3094
557	7106	3081
558	7117	3068
559	7129	3055
560	7141	3042
561	7152	3028
562	7161	3014
563	7174	3002
564	7186	2989
565	7199	2976
566	7212	2963
567	7223	2950
568	7235	2937
569	7247	2924
570	7260	2911
571	7269	2897
572	7282	2884
573	7294	2872
574	7306	2859
575	7319	2846
576	7330	2833
577	7341	2819
578	7354	2806
579	7366	2794
580	7377	2780
581	7389	2767
582	7400	2754
583	7412	2741
584	7424	2728
585	7438	2716
586	7451	2703
587	7465	2691
588	7479	2679
589	7492	2666
590	7504	2653
591	7517	2641
592	7530	2628
593	7544	2616
594	7557	2603
595	7570	2591
596	7583	2578
597	7596	2565
598	7609	2553
599	7622	2540
600	7633	2527
601	7646	2514
602	7660	2502
603	7673	2490
604	7684	2476
605	7698	2464
606	7712	2452
607	7724	2439
608	7737	2426
609	7748	2413
610	7762	2401
611	7774	2388
612	7786	2375
613	7797	2361
614	7809	2349
615	7822	2336
616	7834	2323
617	7847	2311
618	7859	2298
619	7874	2286
620	7887	2273
621	7899	2260
622	7913	2248
623	7925	2235
624	7938	2222
625	7950	2209
626	7962	2196
627	7976	2184
628	7989	2172
629	8000	2158
630	8012	2146
631	8024	2133
632	8036	2120
633	8047	2106
634	8059	2094
635	8071	2081
636	8085	2068
637	8097	2056
638	8108	2042
639	8119	2029
640	8131	2016
641	8141	2003
642	8154	1991
643	8169	1978
644	8182	1966
645	8194	1953
646	8209	1941
647	8226	1929
648	8238	1916
649	8251	1904
650	8264	1891
651	8277	1878
652	8290	1866
653	8304	1853
654	8316	1840
655	8329	1828
656	8341	1815
657	8353	1802
658	8365	1789
659	8381	1777
660	8394	1765
661	8408	1752
662	8421	1740
663	8433	1727
664	8444	1714
665	8458	1701
666	8472	1689
667	8486	1676
668	8498	1664
669	8511	1651
670	8525	1639
671	8541	1626
672	8555	1614
673	8568	1601
674	8582	1589
675	8595	1576
676	8607	1563
677	8620	1551
678	8633	1538
679	8645	1525
680	8656	1512
681	8670	1500
682	8683	1487
683	8701	1475
684	8714	1463
685	8730	1450
686	8744	1438
687	8758	1425
688	8771	1413
689	8784	1400
690	8797	1387
691	8810	1374
692	8824	1362
693	8836	1349
694	8849	1336
695	8862	1324
696	8873	1311
697	8886	1298
698	8898	1285
699	8909	1272
700	8920	1259
701	8932	1246
702	8944	1234
703	8956	1221
704	8969	1208
705	8982	1195
706	8994	1183
707	9005	1170
708	9016	1157
709	9027	1144
710	9038	1131
711	9050	1118
712	9063	1105
713	9075	1093
714	9088	1080
715	9102	1067
716	9116	1055
717	9127	1042
718	9139	1029
719	9152	1016
720	9163	1004
721	9175	991
722	9186	978
723	9198	965
724	9210	952
725	9220	939
726	9232	927
727	9244	914
728	9255	901
729	9268	888
730	9282	876
731	9293	863
732	9305	850
733	9316	837
734	9327	824
735	9340	812
736	9351	799
737	9363	786
738	9375	773
739	9385	760
740	9398	748
741	9409	735
742	9422	722
743	9435	710
744	9448	697
745	9460	684
746	9470	671
747	9483	659
748	9498	646
749	9511	634
750	9526	621
751	9541	609
752	9555	596
753	9567	583
754	9579	570
755	9595	558
756	9609	545
757	9622	533
758	9635	520
759	9650	507
760	9663	495
761	9678	482
762	9690	469
763	9701	457
764	9715	444
765	9729	431
766	9743	419
767	9756	406
768	9768	393
769	9781	381
770	9794	368
771	9805	355
772	9819	342
773	9831	330
774	9842	317
775	9854	304
776	9869	292
777	9880	279
778	9895	266
779	9908	254
780	9920	241
781	9931	228
782	9943	215
783	9954	203
784	9966	190
785	9978	177
786	9991	165
787	10003	152
788	10015	139
789	10027	126
790	10039	114
791	10052	101
792	10064	88
793	10076	76
794	10088	63
795	10099	50
796	10112	38
797	10123	25
798	10135	12
799	10146	0
